"TANDIL BACKEND — API INDEX (each row = one unique API: METHOD + path; duplicates from Postman removed)",,,,,,,
,,,,,,,
"HOW TO USE THIS FILE",,,,,,,
"Sort or filter by column ""Audience"" for Client, Admin, Supervisor, etc. Use ""Postman root folder"" to jump to the same top folder in Postman.",,,,,,,
,,,,,,,
"WHERE EACH USER TYPE STARTS IN POSTMAN (folder numbers match tandil_backend.json)",,,,,,,
"Shared / entry","Folder ""1. Health Check - START HERE"" (health check first; wallet summaries listed here are shared across roles).",,,,,,,
"All roles","Folder ""2. Authentication"" (register, login, password, email verification).",,,,,,,
Client,"Folders ""3."" through ""8."" (profile, subscriptions, banners, visits, reports, shop & orders; payments under ""8."").",,,,,,,
Technician,"Folder ""9. Technician Dashboard – All APIs"".",,,,,,,
Supervisor,"Folder ""10. Supervisor Dashboard – All APIs"".",,,,,,,
"Area Manager","Folder ""11. Area Manager Dashboard – All APIs"".",,,,,,,
"HR Manager","Folder ""12. HR Manager Dashboard – All APIs"".",,,,,,,
Admin,"Folders ""13."" through ""16."" (stats & users, reports, support tickets, settings).",,,,,,,
"Cross-role / other","Folder ""17. Other Modules"" (e.g. notifications hub, shared utilities).",,,,,,,
,,,,,,,
"Sr. No.",Audience,"Postman root folder",Name,"Module (full path in Postman)",Methods,Endpoint,Status
95,"Technician — folder 9","9. Technician Dashboard – All APIs","POST Technician – Upload job photo","9. Technician Dashboard – All APIs > C. Visits & Tasks",POST,/api/tech/visits/{{visit_id}}/photos,Active
96,"Technician — folder 9","9. Technician Dashboard – All APIs","Technician - Submit Field Report to Supervisor","9. Technician Dashboard – All APIs > D. Reports & Field Notes",POST,/api/technician/report/{{visit_id}},Active
97,"Technician — folder 9","9. Technician Dashboard – All APIs","Technician - Field notes (list)","9. Technician Dashboard – All APIs > D. Reports & Field Notes",GET,/api/technician/field-notes,Active
98,"Technician — folder 9","9. Technician Dashboard – All APIs","Leave Request Types","9. Technician Dashboard – All APIs > E. Leave Requests",GET,/api/technician/leave-request-types,Active
99,"Technician — folder 9","9. Technician Dashboard – All APIs","Leave Requests - List","9. Technician Dashboard – All APIs > E. Leave Requests",GET,/api/technician/leave-requests,Active
100,"Technician — folder 9","9. Technician Dashboard – All APIs","Leave Request - Submit","9. Technician Dashboard – All APIs > E. Leave Requests",POST,/api/technician/leave-requests,Active
101,"Technician — folder 9","9. Technician Dashboard – All APIs","Leave Request - Show","9. Technician Dashboard – All APIs > E. Leave Requests",GET,/api/technician/leave-requests/{{leave_request_id}},Active
102,"Technician — folder 9","9. Technician Dashboard – All APIs","Alerts - List","9. Technician Dashboard – All APIs > F. Alerts",GET,/api/technician/alerts,Active
103,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Service areas","9. Technician Dashboard – All APIs > G. Service Areas & Specializations",GET,/api/technician/service-areas,Active
104,"Technician — folder 9","9. Technician Dashboard – All APIs","PUT Technician – Service areas","9. Technician Dashboard – All APIs > G. Service Areas & Specializations",PUT,/api/technician/service-areas,Active
105,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Specializations","9. Technician Dashboard – All APIs > G. Service Areas & Specializations",GET,/api/technician/specializations,Active
106,"Technician — folder 9","9. Technician Dashboard – All APIs","POST Technician – Specializations (form-data)","9. Technician Dashboard – All APIs > G. Service Areas & Specializations",POST,/api/technician/specializations,Active
107,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Leave types","9. Technician Dashboard – All APIs > H. Availability & Schedule",GET,/api/technician/leave-types,Active
108,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Availability","9. Technician Dashboard – All APIs > H. Availability & Schedule",GET,/api/technician/availability,Active
109,"Technician — folder 9","9. Technician Dashboard – All APIs","PUT Technician – Availability update","9. Technician Dashboard – All APIs > H. Availability & Schedule",PUT,/api/technician/availability,Active
110,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Schedule","9. Technician Dashboard – All APIs > H. Availability & Schedule",GET,/api/technician/schedule,Active
111,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Payout summary","9. Technician Dashboard – All APIs > I. Payout & Bank",GET,/api/technician/payout-summary,Active
112,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Payout history","9. Technician Dashboard – All APIs > I. Payout & Bank",GET,/api/technician/payouts,Active
113,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Payout settings","9. Technician Dashboard – All APIs > I. Payout & Bank",GET,/api/technician/settings/payout,Active
114,"Technician — folder 9","9. Technician Dashboard – All APIs","PUT Technician – Payout settings","9. Technician Dashboard – All APIs > I. Payout & Bank",PUT,/api/technician/settings/payout,Active
115,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Bank accounts","9. Technician Dashboard – All APIs > I. Payout & Bank",GET,/api/technician/bank-accounts,Active
